day,step,price,duration,power,energy,cost,degration,comfort
0,0,0,0,0,0.0,0.0,0.0,0
0,1,0,0,0,0.0,0.0,0.0,0
0,2,0,0,0,0.0,0.0,0.0,0
0,3,0,0,0,0.0,0.0,0.0,0
0,4,0,0,0,0.0,0.0,0.0,0
0,5,0,0,0,0.0,0.0,0.0,0
0,6,0,0,0,0.0,0.0,0.0,0
0,7,0,0,0,0.0,0.0,0.0,0
0,8,0,0,0,0.0,0.0,0.0,0
0,9,0,0,0,0.0,0.0,0.0,0
0,10,0,0,0,0.0,0.0,0.0,0
0,11,0,0,0,0.0,0.0,0.0,0
0,12,0,0,0,0.0,0.0,0.0,0
0,13,0,0,0,0.0,0.0,0.0,0
0,14,0,0,0,0.0,0.0,0.0,0
0,15,0,0,0,0.0,0.0,0.0,0
0,16,0,0,0,0.0,0.0,0.0,0
0,17,0,0,0,0.0,0.0,0.0,0
0,18,0,0,0,0.0,0.0,0.0,0
0,19,0,0,0,0.0,0.0,0.0,0
0,20,0,0,0,0.0,0.0,0.0,0
0,21,0.1787596899999999,50,1.9452592697680444,73.15686296597187,0.08693348600834044,0.00037840336266185056,0
0,22,0.1800746099999998,49,2.0953820001754764,72.6592097409302,0.0943312741206546,0.000439062572665938,0
0,23,0.1792116299999999,48,2.5104696905138013,72.06297318943317,0.11247634132564341,0.0006302458066988462,0
0,24,0.18044524,47,2.829814526288345,71.39089223943968,0.1276566403378967,0.0008007850253192531,0
0,25,0.18060779,46,2.833042898850664,70.71804455096265,0.127917404234153,0.0008026132066728174,0
0,26,0.18266213,45,2.7568333155721803,70.06329663851426,0.12589226136934414,0.00076001299298487,0
