day,step,power
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
0,12,0.0
0,13,0.0
0,14,0.0
0,15,0.0
0,16,0.0
0,17,0.0
0,18,0.0
0,19,0.0
0,20,0.0
0,21,0.0
0,22,0.0
0,23,0.0
0,24,0.0
0,25,0.0
0,26,0.0
0,27,0.0
0,28,0.0
0,29,137.47257668127136
0,30,278.8486516264226
0,31,441.1170607583627
0,32,606.38649
0,33,758.981153453592
0,34,892.0873779387896
0,35,1001.1070184545924
0,36,1081.4419299999995
0,37,1130.5225904418603
0,38,1153.8939691184182
0,39,1159.1296582357672
0,40,1153.80325
0,41,1144.4045729039656
0,42,1133.088400587536
0,43,1120.9257429773386
0,44,1108.98761
0,45,1098.3579988797762
0,46,1090.1728560314366
0,47,1085.5811151673784
0,48,1085.73171
0,49,1091.618609545679
0,50,1103.615924036717
0,51,1121.9427990093966
0,52,1146.81838
0,53,1176.873093718758
0,54,1204.3824915716948
0,55,1220.0334061387846
0,56,1214.51267
0,57,1179.51459854804
0,58,1110.7634384265036
0,59,1004.9909190917156
0,60,858.92877
0,61,674.4538208390821
0,62,474.0233022222903
0,63,285.23954499435325
0,64,135.70488
0,65,0.0
0,66,0.0
0,67,0.0
0,68,0.0
0,69,0.0
0,70,0.0
0,71,0.0
0,72,0.0
0,73,0.0
0,74,0.0
0,75,0.0
0,76,0.0
0,77,0.0
0,78,0.0
0,79,0.0
0,80,0.0
0,81,0.0
0,82,0.0
0,83,0.0
0,84,0.0
0,85,0.0
0,86,0.0
0,87,0.0
0,88,0.0
0,89,0.0
0,90,0.0
0,91,0.0
0,92,0.0
0,93,0.0
0,94,0.0
0,95,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
1,12,0.0
1,13,0.0
1,14,0.0
1,15,0.0
1,16,0.0
1,17,0.0
1,18,0.0
1,19,0.0
1,20,0.0
1,21,0.0
1,22,0.0
1,23,0.0
1,24,0.0
1,25,0.0
1,26,0.0
1,27,0.0
1,28,0.0
1,29,0.0
1,30,0.0
1,31,123.57886020085212
1,32,150.07909
1,33,166.53048844136256
1,34,175.98023819869462
1,35,183.2277588566793
1,36,193.07247
1,37,208.79778885208515
1,38,227.62312319134384
1,39,245.25187843493063
1,40,257.38746
1,41,260.8451752127969
1,42,256.88793903593006
1,43,247.8905683410981
1,44,236.22788000000003
1,45,223.79605904672667
1,46,210.57676316493595
1,47,196.07301820067724
1,48,179.78785
1,49,161.54448266279613
1,50,142.44693330432628
1,51,123.91941729369324
1,52,0.0
1,53,0.0
1,54,0.0
1,55,0.0
1,56,0.0
1,57,0.0
1,58,0.0
1,59,0.0
1,60,0.0
1,61,0.0
1,62,0.0
1,63,0.0
1,64,0.0
1,65,0.0
1,66,0.0
1,67,0.0
1,68,0.0
1,69,0.0
1,70,0.0
1,71,0.0
1,72,0.0
1,73,0.0
1,74,0.0
1,75,0.0
1,76,0.0
1,77,0.0
1,78,0.0
1,79,0.0
1,80,0.0
1,81,0.0
1,82,0.0
1,83,0.0
1,84,0.0
1,85,0.0
1,86,0.0
1,87,0.0
1,88,0.0
1,89,0.0
1,90,0.0
1,91,0.0
1,92,0.0
1,93,0.0
1,94,0.0
1,95,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
2,12,0.0
2,13,0.0
2,14,0.0
2,15,0.0
2,16,0.0
2,17,0.0
2,18,0.0
2,19,0.0
2,20,0.0
2,21,0.0
2,22,0.0
2,23,0.0
2,24,0.0
2,25,0.0
2,26,0.0
2,27,0.0
2,28,0.0
2,29,195.84468561094823
2,30,363.398141221754
2,31,545.4868587216828
2,32,716.37728
2,33,855.2690061540577
2,34,961.094275113554
2,35,1037.7184840162736
2,36,1089.00703
2,37,1118.405908366571
2,38,1127.6835070740303
2,39,1118.1888122444743
2,40,1091.27081
2,41,1049.3350083484088
2,42,999.0130028403248
2,43,947.9929109120784
2,44,903.96285
2,45,872.2176423022947
2,46,848.4789290646708
2,47,826.0750562947112
2,48,798.3343699999999
2,49,760.1367018174125
2,50,712.5678259009925
2,51,658.2650020340764
2,52,599.86549
2,53,539.7890662093057
2,54,479.5855735813594
2,55,420.5873716627335
2,56,364.12682
2,57,311.23653881411497
2,58,261.75019102356987
2,59,215.2017002212397
2,60,171.12499
2,61,129.4096608779844
2,62,0.0
2,63,0.0
2,64,0.0
2,65,0.0
2,66,0.0
2,67,0.0
2,68,0.0
2,69,0.0
2,70,0.0
2,71,0.0
2,72,0.0
2,73,0.0
2,74,0.0
2,75,0.0
2,76,0.0
2,77,0.0
2,78,0.0
2,79,0.0
2,80,0.0
2,81,0.0
2,82,0.0
2,83,0.0
2,84,0.0
2,85,0.0
2,86,0.0
2,87,0.0
2,88,0.0
2,89,0.0
2,90,0.0
2,91,0.0
2,92,0.0
2,93,0.0
2,94,0.0
2,95,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
3,12,0.0
3,13,0.0
3,14,0.0
3,15,0.0
3,16,0.0
3,17,0.0
3,18,0.0
3,19,0.0
3,20,0.0
3,21,0.0
3,22,0.0
3,23,0.0
3,24,0.0
3,25,0.0
3,26,0.0
3,27,0.0
3,28,0.0
3,29,0.0
3,30,0.0
3,31,0.0
3,32,0.0
3,33,0.0
3,34,138.36671123902613
3,35,192.86486406975595
3,36,257.38932
3,37,330.2322237004004
3,38,403.0250536480573
3,39,465.7341217716855
3,40,508.32574
3,41,524.0391735033652
3,42,519.2055004187447
3,43,503.42875212475184
3,44,486.31296
3,45,475.8847316611388
3,46,473.8609796769638
3,47,480.3811928543069
3,48,495.58486
3,49,518.2170182895796
3,50,541.4448983734002
3,51,557.0412792705207
3,52,556.77894
3,53,534.857571118043
3,54,495.1845093294359
3,55,444.0940028761109
3,56,387.9203
3,57,332.0121181757487
3,58,277.7760518088563
3,59,225.6331645375359
3,60,176.00452
3,61,129.5523752414623
3,62,0.0
3,63,0.0
3,64,0.0
3,65,0.0
3,66,0.0
3,67,0.0
3,68,0.0
3,69,0.0
3,70,0.0
3,71,0.0
3,72,0.0
3,73,0.0
3,74,0.0
3,75,0.0
3,76,0.0
3,77,0.0
3,78,0.0
3,79,0.0
3,80,0.0
3,81,0.0
3,82,0.0
3,83,0.0
3,84,0.0
3,85,0.0
3,86,0.0
3,87,0.0
3,88,0.0
3,89,0.0
3,90,0.0
3,91,0.0
3,92,0.0
3,93,0.0
3,94,0.0
3,95,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
4,12,0.0
4,13,0.0
4,14,0.0
4,15,0.0
4,16,0.0
4,17,0.0
4,18,0.0
4,19,0.0
4,20,0.0
4,21,0.0
4,22,0.0
4,23,0.0
4,24,0.0
4,25,0.0
4,26,0.0
4,27,0.0
4,28,0.0
4,29,0.0
4,30,123.4242354672819
4,31,179.6103833739936
4,32,227.10063
4,33,258.889638786429
4,34,280.51752112717844
4,35,300.6607504043387
4,36,327.9958
4,37,368.2834948711048
4,38,415.6220662740041
