day,step,power
0,0,830.5454545454545
0,1,821.2573713535264
0,2,812.938619209225
0,3,805.468739278493
0,4,798.7272727272727
0,5,792.593760721507
0,6,786.9477444271387
0,7,781.66876501011
0,8,776.6363636363636
0,9,771.8150289422633
0,10,767.5090394458567
0,11,764.1076211356128
0,12,762.0
0,13,761.469987145803
0,14,762.3797341530703
0,15,764.4859777201661
0,16,767.5454545454545
0,17,771.3064429290699
0,18,775.4833875782256
0,19,779.7822748019048
0,20,783.9090909090909
0,21,787.591172956099
0,22,790.6412609885724
0,23,792.893445799487
0,24,794.1818181818181
0,25,794.4069902465343
0,26,793.7356593765754
0,27,792.4010442728742
0,28,790.6363636363636
0,29,788.6899569668545
0,30,786.8706469596714
0,31,785.5023771090163
0,32,784.9090909090909
0,33,785.4113068860469
0,34,787.3158436938298
0,35,790.9260950183342
0,36,796.5454545454545
0,37,804.2159518525942
0,38,812.9341600831915
0,39,821.4352882721927
0,40,828.4545454545455
0,41,833.0345447944851
0,42,835.4475159734046
0,43,836.2730928019853
0,44,836.0909090909091
0,45,835.3873462421924
0,46,834.2757760231904
0,47,832.7763177925931
0,48,830.9090909090909
0,49,828.7413543276544
0,50,826.5289253883792
0,51,824.5747610276419
0,52,823.1818181818181
0,53,822.6330319017351
0,54,823.1312496960193
0,55,824.8592971877487
0,56,828.0
0,57,832.6768021563145
0,58,838.7756212820888
0,59,846.122993403182
0,60,854.5454545454545
0,61,864.0219753820974
0,62,875.1412651756258
0,63,888.6444678358872
0,64,905.2727272727273
0,65,925.177057678932
0,66,946.1479543790432
0,67,965.385782980542
0,68,980.0909090909092
0,69,988.2797370839928
0,70,991.23282639911
0,71,991.0467752419452
0,72,989.818181818182
0,73,989.192630348733
0,74,989.011649115426
0,75,988.6657524153146
0,76,987.5454545454544
0,77,985.2352528847103
0,78,982.0955771391864
0,79,978.6808400967964
0,80,975.5454545454544
0,81,972.9814149306068
0,82,970.2310423278284
0,83,966.2742394702268
0,84,960.0909090909092
0,85,950.9981783019527
0,86,939.6620717313172
0,87,927.0858383859322
0,88,914.2727272727273
0,89,902.0642241343093
0,90,890.6547616559932
0,91,880.0770092587715
0,92,870.3636363636364
0,93,861.5034478880829
0,94,853.3097907356188
0,95,845.5521473062545
1,0,838.0
1,1,830.5072115860858
1,2,823.2651663106218
